Day,Week,Date,Module,Module Text,Topics,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,Mapping,Mentor Dictionary
Day1,Week1,2018-09-01,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,R & Python Introduction,,,,,,,,
Day2,Week1,2018-09-02,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Jayaraman,6.3,Dr. Sreerama Murthy,2.1,Dr. Dakshinamurthy Kolluru,2.1,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Sreerama Murthy': 2.1000000000000001, 'Dr. Rohit Lotlikar': 1.0, 'Dr. Ventakesh Sunkad': 2.0, 'Dr. Anand Jayaraman': 6.3000000000000016, 'Dr. Praphul Chandra': 2.0, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001}"
Day3,Week2,2018-09-08,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,6.3,Dr. Surya Kompalli,4.2,Dr. Sreerama Murthy,2.1,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Surya Kompalli': 4.2000000000000002, 'Dr. Sreerama Murthy': 2.1000000000000001, 'Dr. Manoj Duse': 2.0, 'Dr. Ventakesh Sunkad': 2.0, 'Dr. Praphul Chandra': 2.0, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001, 'Dr. Sridhar Pappu': 6.3000000000000016}"
Day4,Week2,2018-09-09,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,6.3,Dr. Surya Kompalli,4.2,Dr. Sreerama Murthy,2.1,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Surya Kompalli': 4.2000000000000002, 'Dr. Sreerama Murthy': 2.1000000000000001, 'Dr. Manoj Duse': 2.0, 'Dr. Ventakesh Sunkad': 2.0, 'Dr. Praphul Chandra': 2.0, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001, 'Dr. Sridhar Pappu': 6.3000000000000016}"
Day5,Week3,2018-09-15,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Jayaraman,6.3,Dr. Sridhar Pappu,6.3,Dr. Sreerama Murthy,2.1,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Anand Narasimhamurthy': 2.0, 'Dr. Sreerama Murthy': 2.1000000000000001, 'Dr. Rohit Lotlikar': 1.0, 'Dr. Manoj Duse': 2.0, 'Dr. Ventakesh Sunkad': 2.0, 'Dr. Anand Jayaraman': 6.3000000000000016, 'Dr. Praphul Chandra': 2.0, 'Dr. Sridhar Pappu': 6.3000000000000016}"
Day6,Week3,2018-09-16,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Jayaraman,6.3,Dr. Sridhar Pappu,6.3,Dr. Sreerama Murthy,2.1,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Anand Narasimhamurthy': 2.0, 'Dr. Sreerama Murthy': 2.1000000000000001, 'Dr. Rohit Lotlikar': 1.0, 'Dr. Manoj Duse': 2.0, 'Dr. Ventakesh Sunkad': 2.0, 'Dr. Anand Jayaraman': 6.3000000000000016, 'Dr. Sridhar Pappu': 6.3000000000000016}"
Day7,Week4,2018-09-22,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,R Preprocessing,,,,,,,,
Day8,Week4,2018-09-23,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,Python Preprocessing,,,,,,,,
Day9,Week5,2018-09-29,CUTe,CSE 7212c,,,,,,,,,
Day10,Week5,2018-09-30,CSE 7302c,Statistics and Probability in Decision Modeling,"Introduction to Supervised Methods, Linear Regression",Dr. Sridhar Pappu,6.3,Dr. Dakshinamurthy Kolluru,2.1,Dr. Kishore Konda,2.1,['Linear Regression'],"{'Dr. Anand Narasimhamurthy': 2.0, 'Dr. Manoj Duse': 2.0, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001, 'Dr. Kishore Konda': 2.1000000000000001, 'Dr. Sridhar Pappu': 6.3000000000000016}"
Day11,Week6,2018-10-06,CSE 7302c,Statistics and Probability in Decision Modeling,Multiple Linear Regression and Feature Selection (StepAIC & VIF),Dr. Sridhar Pappu,6.3,Dr. Surya Kompalli,4.2,Dr. Kishore Konda,2.1,['Linear Regression'],"{'Dr. Anand Narasimhamurthy': 2.0, 'Dr. Surya Kompalli': 4.2000000000000002, 'Dr. Manoj Duse': 2.0, 'Dr. Praphul Chandra': 2.0, 'Dr. Kishore Konda': 2.1000000000000001, 'Dr. Sridhar Pappu': 6.3000000000000016}"
Day12,Week6,2018-10-07,CSE 7302c,Statistics and Probability in Decision Modeling,Logistic Regression & Naive Bayes Classifier,Dr. Sridhar Pappu,12.6,Dr. Surya Kompalli,8.4,Dr. Sreerama Murthy,8.4,"['Logistic Regression', ' Naive Bayes']","{'Dr. Anand Narasimhamurthy': 4.0, 'Dr. Surya Kompalli': 8.4000000000000004, 'Dr. Sreerama Murthy': 8.4000000000000004, 'Dr. Manoj Duse': 4.0, 'Dr. Sridhar Pappu': 12.600000000000003}"
Day13,Week7,2018-10-13,CSE 7302c,Statistics and Probability in Decision Modeling,PCA & Regularization,Dr. Sridhar Pappu,12.6,Dr. Sreerama Murthy,8.4,Dr. Anand Narasimhamurthy,4.0,"['PCA', ' Regularization']","{'Dr. Sreerama Murthy': 8.4000000000000004, 'Dr. Anand Narasimhamurthy': 4.0, 'Dr. Manoj Duse': 4.0, 'Dr. Sridhar Pappu': 12.600000000000003}"
Day14,Week7,2018-10-14,CSE 7302c,Statistics and Probability in Decision Modeling,Time Series,Dr. Sridhar Pappu,6.3,Dr. Sreerama Murthy,4.2,Dr. Dakshinamurthy Kolluru,2.1,['Time Series'],"{'Dr. Anand Narasimhamurthy': 1.0, 'Dr. Sreerama Murthy': 4.2000000000000002, 'Dr. Manoj Duse': 2.0, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001, 'Dr. Sridhar Pappu': 6.3000000000000016}"
Day15,Week8,2018-10-20,CUTe,CSE 7302c,,,,,,,,,
Day16,Week8,2018-10-21,CSE 7305c,Methods and Algorithms in Machine Learning,"Introduction to Unsupervised Methods, Distance Metrics, Clustering (Hierarchical & Kmeans)",Dr. Surya Kompalli,6.3,Dr. Sreerama Murthy,6.3,Dr. Manish Gupta,6.3,['Clustering'],"{'Dr. Anand Narasimhamurthy': 1.0, 'Dr. Surya Kompalli': 6.3000000000000016, 'Dr. Sreerama Murthy': 6.3000000000000016, 'Dr. Rohit Lotlikar': 2.0, 'Dr. Manoj Duse': 3.0, 'Dr. Anand Jayaraman': 4.2000000000000002, 'Dr. Praphul Chandra': 3.0, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001, 'Dr. Manish Gupta': 6.3000000000000016, 'Dr. Kishore Konda': 6.3000000000000016}"
Day17,Week9,2018-10-27,CSE 7305c,Methods and Algorithms in Machine Learning,Association Rules (Apriori) and Decision Trees (CART & C50),Dr. Sreerama Murthy,12.6,Dr. Manish Gupta,12.6,Dr. Surya Kompalli,10.5,"['Decision Trees', ' Association Rules']","{'Dr. Anand Narasimhamurthy': 3.0, 'Dr. Surya Kompalli': 10.500000000000002, 'Dr. Sreerama Murthy': 12.600000000000003, 'Dr. Rohit Lotlikar': 4.0, 'Dr. Manoj Duse': 6.0, 'Dr. Anand Jayaraman': 8.4000000000000004, 'Dr. Praphul Chandra': 6.0, 'Dr. Dakshinamurthy Kolluru': 4.2000000000000002, 'Dr. Manish Gupta': 12.600000000000003, 'Dr. Kishore Konda': 6.3000000000000007}"
Day18,Week9,2018-10-28,CSE 7305c,Methods and Algorithms in Machine Learning,KNN & Collaborative Filtering,Dr. Manish Gupta,6.3,Dr. Kishore Konda,4.2,Dr. Praphul Chandra,3.0,['KNN & Collabrative Filtering'],"{'Dr. Anand Narasimhamurthy': 1.0, 'Dr. Manoj Duse': 2.0, 'Dr. Praphul Chandra': 3.0, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001, 'Dr. Manish Gupta': 6.3000000000000016, 'Dr. Kishore Konda': 4.2000000000000002}"
Day19,Week10,2018-11-03,CSE 7305c,Methods and Algorithms in Machine Learning,Ensemble techniques: Bagging (RF) & Boosting (GBM),Dr. Manish Gupta,6.3,Dr. Manoj Duse,3.0,Dr. Praphul Chandra,3.0,['Ensembles Bagging (RF) & Boosting (GBM)'],"{'Dr. Anand Narasimhamurthy': 1.0, 'Dr. Rohit Lotlikar': 1.0, 'Dr. Manoj Duse': 3.0, 'Dr. Praphul Chandra': 3.0, 'Dr. Manish Gupta': 6.3000000000000016, 'Dr. Kishore Konda': 2.1000000000000001}"
Day20,Week10,2018-11-04,CSE 7305c,Methods and Algorithms in Machine Learning,SVM and Summary on Architecting ML Solutions,Dr. Manish Gupta,12.6,Dr. Surya Kompalli,8.4,Dr. Kishore Konda,6.3,"['SVM', ' Architecting ML Solutions']","{'Dr. Surya Kompalli': 8.4000000000000004, 'Dr. Rohit Lotlikar': 1.0, 'Dr. Praphul Chandra': 6.0, 'Dr. Manish Gupta': 12.600000000000003, 'Dr. Kishore Konda': 6.3000000000000007}"
Day21,Week11,2018-11-10,CUTe,CSE 7305c,,,,,,,,,
Day22,Week11,2018-11-11,CSE 7124c,Foundations of Text Mining and Search,"Text Mining - TF-IDF, Matrix Factorization (SVD)",Dr. Manish Gupta,6.3,Dr. Surya Kompalli,4.2,Dr. Sreerama Murthy,4.2,"['Text Mining - TF-IDF, Matrix Factorization (SVD)']","{'Dr. Surya Kompalli': 4.2000000000000002, 'Dr. Sreerama Murthy': 4.2000000000000002, 'Dr. Rohit Lotlikar': 1.0, 'Dr. Praphul Chandra': 3.0, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001, 'Dr. Manish Gupta': 6.3000000000000016, 'Dr. Kishore Konda': 4.2000000000000002}"
Day23,Week12,2018-11-17,CSE 7124c,Foundations of Text Mining and Search,"Text Mining – Page Rank, Text Classification & Sentiment Analysis",Dr. Manish Gupta,6.3,Dr. Surya Kompalli,4.2,Dr. Sreerama Murthy,4.2,"['Text Mining - Page Rank, Text Classification & Sentiment Analysis']","{'Dr. Surya Kompalli': 4.2000000000000002, 'Dr. Sreerama Murthy': 4.2000000000000002, 'Dr. Rohit Lotlikar': 1.0, 'Dr. Manoj Duse': 3.0, 'Dr. Ventakesh Sunkad': 3.0, 'Dr. Praphul Chandra': 3.0, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001, 'Dr. Manish Gupta': 6.3000000000000016, 'Dr. Kishore Konda': 4.2000000000000002}"
Day24,Week12,2018-11-18,CSE 7120c,The Art and Science of Storytelling with Data Visualizations,Art and Science of Data Visualization,Dr. Surya Kompalli,4.2,Dr. Sreerama Murthy,4.2,Dr. Ventakesh Sunkad,3.0,['Art and Science of Data Visualisation'],"{'Dr. Surya Kompalli': 4.2000000000000002, 'Dr. Sreerama Murthy': 4.2000000000000002, 'Dr. Manoj Duse': 1.0, 'Dr. Ventakesh Sunkad': 3.0, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001}"
Day25,Week13,2018-11-24,LAB DAY,CSE 7120c,,,,,,,,,
Day26,Week13,2018-11-25,CSE 7321c – AI,AI and Decision Sciences,ANN,Dr. Surya Kompalli,6.3,Dr. Sreerama Murthy,6.3,Dr. Kishore Konda,6.3,['ANN'],"{'Dr. Surya Kompalli': 6.3000000000000016, 'Dr. Sreerama Murthy': 6.3000000000000016, 'Dr. Kishore Konda': 6.3000000000000016, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001}"
Day27,Week14,2018-12-01,MiTH,Scholarship Exam,,,,,,,,,
Day28,Week14,2018-12-02,MiTH,Scholarship Exam,,,,,,,,,
Day29,Week15,2018-12-08,CSE 7321c – AI,AI and Decision Sciences,Deep Learning,Dr. Surya Kompalli,2.1,Dr. Dakshinamurthy Kolluru,2.1,,,['Deep Learning'],"{'Dr. Surya Kompalli': 2.1000000000000001, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001}"
Day30,Week15,2018-12-09,CSE 7321c – AI,AI and Decision Sciences,CNN,Dr. Surya Kompalli,2.1,Dr. Dakshinamurthy Kolluru,2.1,Dr. Rohit Lotlikar,1.0,['CNN'],"{'Dr. Surya Kompalli': 2.1000000000000001, 'Dr. Rohit Lotlikar': 1.0, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001}"
