Day,Week,Date,Module,Module Text,Topics,Proposed,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,4rd Best,4rd Best Scrore,5rd Best,5rd Best Scrore,Mapping,Mentor Dictionary
Day1,Week1,26-01-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,R & Python Introduction,,,,,,,,,,,,,
Day2,Week1,27-01-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Narasimhamurthy,Dr. Praphul Chandra,6.72,Dr. Manoj Duse,6.72,Dr. Anand Narasimhamurthy,6.72,Dr. Sridhar Pappu,4.8,Dr. Anand Jayaraman,4.8,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 6.7200000000000015, 'Dr. Sridhar Pappu': 4.800000000000002, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Anand Jayaraman': 4.800000000000002, 'Dr. Manoj Duse': 6.7200000000000015, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 1.0, 'Dr. Anand Narasimhamurthy': 6.7200000000000015}"
Day3,Week2,02-02-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Narasimhamurthy,Dr. Praphul Chandra,6.72,Dr. Manoj Duse,6.72,Dr. Anand Narasimhamurthy,6.72,Dr. Anand Jayaraman,4.8,Dr. Surya Kompalli,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 6.7200000000000015, 'Dr. Anand Jayaraman': 4.800000000000002, 'Dr. Manoj Duse': 6.7200000000000015, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 1.0, 'Dr. Anand Narasimhamurthy': 6.7200000000000015}"
Day4,Week2,03-02-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Narasimhamurthy,Dr. Manoj Duse,6.72,Dr. Anand Narasimhamurthy,6.72,Dr. Anand Jayaraman,4.8,Dr. Rohit Lotlikar,3.36,Dr. Surya Kompalli,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Anand Jayaraman': 4.800000000000002, 'Dr. Manoj Duse': 6.7200000000000015, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 1.0, 'Dr. Anand Narasimhamurthy': 6.7200000000000015}"
Day5,Week3,09-02-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Narasimhamurthy,Dr. Manoj Duse,6.72,Dr. Anand Narasimhamurthy,6.72,Dr. Anand Jayaraman,4.8,Dr. Rohit Lotlikar,3.36,Dr. Dakshinamurthy Kolluru,1.6,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Anand Jayaraman': 4.800000000000002, 'Dr. Manoj Duse': 6.7200000000000015, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Sreerama Murthy': 1.0, 'Dr. Anand Narasimhamurthy': 6.7200000000000015}"
Day6,Week3,10-02-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Narasimhamurthy,Dr. Anand Narasimhamurthy,6.72,Dr. Manoj Duse,6.72,Dr. Rohit Lotlikar,3.36,Dr. Sreerama Murthy,1,,,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Sreerama Murthy': 1.0, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Anand Narasimhamurthy': 6.7200000000000015, 'Dr. Manoj Duse': 6.7200000000000015}"
Day7,Week4,16-02-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,R Preprocessing,,,,,,,,,,,,,
Day8,Week4,17-02-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,Python Preprocessing,,,,,,,,,,,,,
Day9,Week5,23-02-2019,CUTe,CSE 7212c,,,,,,,,,,,,,,
Day10,Week5,24-02-2019,CSE 7302c,Statistics and Probability in Decision Modeling,"Introduction to Supervised Methods, Linear Regression",Dr. Manoj Duse,Dr. Praphul Chandra,6.72,Dr. Manoj Duse,6.72,Dr. Sridhar Pappu,4.8,Dr. Anand Jayaraman,4.8,Dr. Rohit Lotlikar,3.36,['Linear Regression'],"{'Dr. Praphul Chandra': 6.7200000000000015, 'Dr. Sridhar Pappu': 4.800000000000002, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Anand Jayaraman': 4.800000000000002, 'Dr. Manoj Duse': 6.7200000000000015}"
