Day,Week,Date,Module,Module Text,Topics,Proposed,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,4rd Best,4rd Best Scrore,5rd Best,5rd Best Scrore,Mapping,Mentor Dictionary
Day1,Week1,05-01-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,R & Python Introduction,,,,,,,,,,,,,
Day2,Week1,06-01-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Praphul Chandra,3.2,Dr. Sreerama Murthy,2.1,Dr. Rohit Lotlikar,1.6,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 3.2, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Sreerama Murthy': 2.1}"
Day3,Week2,12-01-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Praphul Chandra,3.2,Dr. Manoj Duse,3.2,Dr. Anand Narasimhamurthy,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 3.2, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Manoj Duse': 3.2, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Anand Narasimhamurthy': 3.2}"
Day4,Week2,13-01-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Narasimhamurthy,3.2,Dr. Sreerama Murthy,2.1,,,,,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Anand Narasimhamurthy': 3.2, 'Dr. Sreerama Murthy': 2.1, 'Dr. Sridhar Pappu': 10.080000000000002}"
Day5,Week3,19-01-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Anand Narasimhamurthy,3.2,Dr. Rohit Lotlikar,1.6,,,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Anand Narasimhamurthy': 3.2, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Anand Jayaraman': 10.080000000000002}"
Day6,Week3,20-01-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Anand Narasimhamurthy,3.2,Dr. Rohit Lotlikar,1.6,,,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Anand Narasimhamurthy': 3.2, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Anand Jayaraman': 10.080000000000002}"
Day7,Week4,26-01-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,R Preprocessing,,,,,,,,,,,,,
Day8,Week4,27-01-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,Python Preprocessing,,,,,,,,,,,,,
Day9,Week5,02-02-2019,CUTe,CSE 7212c,,,,,,,,,,,,,,
Day10,Week5,03-02-2019,CSE 7302c,Statistics and Probability in Decision Modeling,"Introduction to Supervised Methods, Linear Regression",Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Surya Kompalli,6.72,Dr. Sreerama Murthy,4.2,Dr. Kishore Konda,3.36,['Linear Regression'],"{'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Kishore Konda': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manoj Duse': 3.2, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 4.2, 'Dr. Anand Narasimhamurthy': 3.2}"
Day11,Week6,09-02-2019,CSE 7302c,Statistics and Probability in Decision Modeling,Multiple Linear Regression and Feature Selection (StepAIC & VIF),Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Sreerama Murthy,4.2,Dr. Kishore Konda,3.36,Dr. Dakshinamurthy Kolluru,3.36,['Linear Regression'],"{'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Kishore Konda': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manoj Duse': 3.2, 'Dr. Sreerama Murthy': 4.2, 'Dr. Anand Narasimhamurthy': 3.2}"
Day12,Week6,10-02-2019,CSE 7302c,Statistics and Probability in Decision Modeling,Logistic Regression & Naive Bayes Classifier,Dr. Sridhar Pappu,Dr. Sridhar Pappu,20.16,Dr. Kishore Konda,10.08,Dr. Sreerama Murthy,8.4,Dr. Manoj Duse,6.4,Dr. Anand Narasimhamurthy,6.4,"['Logistic Regression', ' Naive Bayes']","{'Dr. Sridhar Pappu': 20.160000000000004, 'Dr. Rohit Lotlikar': 3.2, 'Dr. Manoj Duse': 6.4, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Sreerama Murthy': 8.4, 'Dr. Anand Narasimhamurthy': 6.4}"
Day13,Week7,16-02-2019,CSE 7302c,Statistics and Probability in Decision Modeling,PCA & Regularization,Dr. Sridhar Pappu,Dr. Sridhar Pappu,20.16,Dr. Anand Jayaraman,20.16,Dr. Sreerama Murthy,8.4,Dr. Dakshinamurthy Kolluru,6.72,Dr. Surya Kompalli,6.72,"['PCA', ' Regularization']","{'Dr. Praphul Chandra': 6.4, 'Dr. Sridhar Pappu': 20.160000000000004, 'Dr. Anand Jayaraman': 20.160000000000004, 'Dr. Manoj Duse': 6.4, 'Dr. Dakshinamurthy Kolluru': 6.720000000000001, 'Dr. Surya Kompalli': 6.720000000000001, 'Dr. Sreerama Murthy': 8.4}"
Day14,Week7,17-02-2019,CSE 7302c,Statistics and Probability in Decision Modeling,Time Series,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Sreerama Murthy,4.2,Dr. Dakshinamurthy Kolluru,3.36,Dr. Praphul Chandra,3.2,['Time Series'],"{'Dr. Praphul Chandra': 3.2, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Sreerama Murthy': 4.2}"
Day15,Week8,23-02-2019,CUTe,CSE 7302c,,,,,,,,,,,,,,
