Day,Date,Module,Module Text,Proposed,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,4rd Best,4rd Best Scrore,5rd Best,5rd Best Scrore,Mapping,Mentor Dictionary
Day1,25-02-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,,,,,,,,,,,,['Essential Engineering Skills in Big Data Analytics Using R and Python'],
Day2,26-02-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Dakshinamurthy Kolluru,3.36,Dr. Manoj Duse,3.2,Dr. Anand Narasimhamurthy,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 1.6, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 3.2, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Sreerama Murthy': 2.1, 'Dr. Anand Narasimhamurthy': 3.2}"
Day3,27-02-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Dr. Anand Jayaraman,Dr. Anand Jayaraman,10.08,Dr. Surya Kompalli,3.36,Dr. Sreerama Murthy,2.1,Dr. Praphul Chandra,1.6,,,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Surya Kompalli': 3.3600000000000003, 'Dr. Sreerama Murthy': 2.1, 'Dr. Praphul Chandra': 1.6, 'Dr. Anand Jayaraman': 10.080000000000002}"
Day4,28-02-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,,,,,,,,,,,,['Essential Engineering Skills in Big Data Analytics Using R and Python'],
Day5,01-03-2019,,Language,,,,,,,,,,,,['Language'],
Day6,04-03-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,,,,,,,,,,,,['Essential Engineering Skills in Big Data Analytics Using R and Python'],
Day7,05-03-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Dakshinamurthy Kolluru,3.36,Dr. Manoj Duse,3.2,Dr. Anand Narasimhamurthy,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 1.6, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 3.2, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Sreerama Murthy': 2.1, 'Dr. Anand Narasimhamurthy': 3.2}"
Day8,06-03-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Dakshinamurthy Kolluru,3.36,Dr. Surya Kompalli,3.36,Dr. Manoj Duse,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 1.6, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Manoj Duse': 3.2, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 3.3600000000000003, 'Dr. Sreerama Murthy': 2.1, 'Dr. Anand Narasimhamurthy': 3.2}"
Day9,07-03-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,,,,,,,,,,,,['Essential Engineering Skills in Big Data Analytics Using R and Python'],
Day10,08-03-2019,,Language,,,,,,,,,,,,['Language'],
Day11,11-03-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Dakshinamurthy Kolluru,3.36,Dr. Manoj Duse,3.2,Dr. Anand Narasimhamurthy,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 1.6, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 3.2, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Sreerama Murthy': 2.1, 'Dr. Anand Narasimhamurthy': 3.2}"
